Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,EmailAddress,Username,TelephoneNumber,Birthday,NationalID,BloodType
23,female,Kaja,S,Marinósdóttir,Súluvegur 39,KajaMarinosdottir@armyspy.com,Butoot,468 5943,11/16/1940,,A+
24,female,Thelma,S,Sigmundsdóttir,Hraunás 76,ThelmaSigmundsdottir@armyspy.com,Frood1986,425 4925,1/2/1986,,O+
25,male,Júlíus,E,Rúnarsson,Melum 24,JuliusRunarsson@rhyta.com,Evelon,475 2562,6/17/1986,,O+
26,male,Páll,H,Marteinsson,Þórunnarstræti 60,PallMarteinsson@dayrep.com,Wilefored72,433 3521,11/30/1972,,B+
27,male,Ingþór,J,Annýjarson,Gilsbakka 11,IngorAnnyjarson@superrito.com,Entand,489 3637,8/2/1940,,A+
28,female,Ruth,A,Ingvarsdóttir,Höfðabraut 19,RuthIngvarsdottir@gustr.com,Worgalenly,441 2341,7/6/1974,,AB+
29,female,Dýrfinna,S,Ragnarsdóttir,Hagatorg 73,DyrfinnaRagnarsdottir@fleckens.hu,Vestoing,432 0256,10/29/1943,,O+
30,male,Svanur,A,Arnarsson,Holmatun 94,SvanurArnarsson@dayrep.com,Soutemoonter39,465 1625,2/23/1939,,A+
31,female,Matthildur,E,Hrafnsdóttir,Borgarholtsbraut 97,MatthildurHrafnsdottir@dayrep.com,Arniagaten,419 7048,2/4/1969,,O+
32,male,Andrés,E,Albertsson,Holmatun 69,AndresAlbertsson@jourrapide.com,Thadeciagre,423 7329,2/21/1984,,O+
33,female,Irena,J,Gunnarsdóttir,Kirkjubraut 83,IrenaGunnarsdottir@jourrapide.com,Idely1969,423 2610,11/19/1969,,O+
34,female,Hafdís,H,Ingvarsdóttir,Fjölnisgata 13,HafdisIngvarsdottir@fleckens.hu,Greamen,449 3092,12/14/1968,,O-
35,male,Hallsteinn,S,Sigurpálsson,Hverafold 94,HallsteinnSigurpalsson@superrito.com,Roatim,466 1929,2/9/1929,,A+
36,female,Dögg,H,Helgadóttir,Hagatorg 9,DoggHelgadottir@armyspy.com,Saithe90,489 5279,4/12/1990,,O-
37,male,Guðni,B,Ásmundarson,Eyrarlandsvegur 45,GuniAsmundarson@jourrapide.com,Forejeces,455 0491,4/15/1943,,A+
38,male,Guðmar,H,Elisson,Hverafold 94,GumarElisson@teleworm.us,Hasmand1943,463 5163,4/25/1943,,B+
39,female,Jónína,I,Albertsdóttir,Svarfaðarbraut 80,JoninaAlbertsdottir@superrito.com,Himentionce,438 7115,5/3/1978,,O+
40,male,Vagn,H,Jensson,Heiðarbraut 16,VagnJensson@rhyta.com,Whisibee,418 0312,7/1/1983,,B+
41,female,Rut,Á,Jóhannsdóttir,Ólafsbraut 33,RutJohannsdottir@dayrep.com,Siest1978,458 4534,8/22/1978,,A+
42,female,Arna,P,Níelsdóttir,Gilsbakka 26,ArnaNielsdottir@fleckens.hu,Yeted1985,439 0435,11/1/1985,,O+
43,male,Lárus,E,Hagalínsson,Eyrarodda 20,LarusHagalinsson@rhyta.com,Fley1957,465 0355,1/31/1957,,O-
44,male,Halldór,S,Engilbertsson,Túnbraut 21,HalldorEngilbertsson@gustr.com,Eforsemnes,488 5510,3/11/1974,,AB+
45,female,Gabriella,Þ,Stefánsdóttir,Hofsbót 5,GabriellaStefansdottir@armyspy.com,Sappike48,436 5504,1/9/1948,,A+
46,male,Eggert,G,Bergsteinsson,Hlíðarvegur 40,EggertBergsteinsson@jourrapide.com,Extry1977,445 9489,12/22/1977,,O+
47,male,Orri,J,Sturluson,Sundabakki 22,OrriSturluson@cuvox.de,Flon1970,425 5906,11/21/1970,,A-
48,male,Júlíus,D,Bryndísarson,Heiðargerði 1,JuliusBryndisarson@armyspy.com,Aely1969,448 5073,9/24/1969,,O+
49,female,Vera,T,Pétursdóttir,Hlíðarenda 56,VeraPetursdottir@cuvox.de,Riets1970,474 7412,3/20/1970,,O+
50,female,Þórdís,H,Skarphéðinsdóttir,Hagatorg 88,ordisSkarpheinsdottir@einrot.com,Prower,446 2499,7/10/1976,,O+
51,female,Gabriella,B,Magnúsdóttir,Adalstraeti 80,GabriellaMagnusdottir@fleckens.hu,Himen1934,489 4173,3/18/1934,,O+
52,male,Brynjar,L,Víkingsson,Snorragata 56,BrynjarVikingsson@rhyta.com,Hateddly,438 0878,11/25/1943,,A-
53,female,Nína,H,Baldursdóttir,Hrútafjörður 53,NinaBaldursdottir@einrot.com,Argoor,481 4963,2/2/1931,,B+
54,male,Unnþór,O,Ástþórsson,Gardabraut 51,UnnorAstorsson@superrito.com,Juplage,451 0711,1/1/1934,,O+
55,male,Víðir,E,Markússon,Hvítárbakka 61,ViirMarkusson@jourrapide.com,Alles1929,452 8537,12/20/1929,,A+
56,male,Marinó,I,Ingólfsson,Álfabyggð 95,MarinoIngolfsson@rhyta.com,Coned1971,454 7705,12/17/1971,,B+
57,female,Irena,K,Kristjánsdóttir,Tungata 56,IrenaKristjansdottir@jourrapide.com,Fornin,418 3327,1/19/1976,,O+
58,male,Börkur,K,Indriðason,Hofsbót 46,BorkurIndriason@cuvox.de,Yesper,427 8139,5/17/1961,,A+
59,male,Heimir,E,Maríasson,Adalstraeti 24,HeimirMariasson@rhyta.com,Advid1937,449 6573,6/24/1937,,B+
60,female,Kristrún,G,Alfreðsdóttir,Borgartuni 86,KristrunAlfresdottir@superrito.com,Zing1964,457 5994,10/6/1964,,A+
61,male,Ástráður,Þ,Indriðason,Tungata 35,AstraurIndriason@superrito.com,Knowers,465 1413,4/16/1942,,O+
62,male,Mikael,Á,Ernuson,Gardabraut 6,MikaelErnuson@einrot.com,Whavuld,440 7549,11/25/1957,,B+
63,male,Börkur,H,Jónasson,Hlégerði 77,BorkurJonasson@einrot.com,Harespok,473 0632,8/30/1970,,O+
64,female,Sigþóra,H,Hallmundsdóttir,Sigtuni 77,SigoraHallmundsdottir@rhyta.com,Linlantrint,447 9228,3/31/1931,,B+
65,male,Birgir,B,Bergsveinsson,Þrúðvangur 11,BirgirBergsveinsson@gustr.com,Youreencels,457 5238,6/24/1958,,AB+
66,male,Pjetur,L,Jörundsson,Midhraun 84,PjeturJorundsson@dayrep.com,Sencing,426 7664,1/21/1985,,O+
67,male,Viktor,K,Svanbergsson,Vesturgata 30,ViktorSvanbergsson@rhyta.com,Thenealt,479 5956,1/3/1933,,A+
68,male,Sigurkarl,E,Þorláksson,Fjölnisgata 2,Sigurkarlorlaksson@armyspy.com,Takings1983,477 3024,6/27/1983,,B+
69,female,Sveinfríður,Þ,Haraldsdóttir,Adalstraeti 60,SveinfriurHaraldsdottir@jourrapide.com,Yourairld70,478 5974,12/23/1970,,B+
70,male,Óli,B,Thorsson,Austurgata 92,OliThorsson@cuvox.de,Witan1947,434 4853,3/8/1947,,O+
71,female,Eyrún,F,Jóakimsdóttir,Suðurgata 79,EyrunJoakimsdottir@jourrapide.com,Duress,459 5876,7/12/1941,,A+
72,female,Sunneva,A,Hafsteinsdóttir,Þverbraut 62,SunnevaHafsteinsdottir@gustr.com,Bradoet,424 4324,8/2/1983,,A+
73,male,Þengill,Þ,Hjörleifsson,Austurstraeti 90,engillHjorleifsson@teleworm.us,Wertiout,484 1391,9/14/1948,,B+
74,female,Guðríður,Þ,Pálmadóttir,Reykjarhóli 16,GuriurPalmadottir@einrot.com,Compown,416 7349,2/10/1945,,AB+
75,female,Magðalena,Þ,Garðarsdóttir,Skolavordustig 59,MagalenaGararsdottir@armyspy.com,Feak1943,458 8781,1/20/1943,,O+
76,male,Unnsteinn,S,Auðbjörnsson,Akurgerði 64,UnnsteinnAubjornsson@einrot.com,Honval,450 6952,10/14/1993,,B+
77,male,Hilmir,R,Arnaldsson,Smiðjustígur 8,HilmirArnaldsson@gustr.com,Sholeake,443 1277,8/24/1943,,O+
78,female,Elína,B,Steindórsdóttir,Drangahrauni 75,ElinaSteindorsdottir@superrito.com,Hungs1975,474 8591,2/19/1975,,A+
79,male,Sævar,G,Traustason,Gerðuberg 9,SaevarTraustason@cuvox.de,Youn1976,438 1146,9/13/1976,,O+
80,male,Arnar,K,Sigbjörnsson,Laufásgötu 43,ArnarSigbjornsson@superrito.com,Stille,484 5366,7/22/1984,,O+
81,male,Steinþór,D,Markússon,Grundargötu 53,SteinorMarkusson@cuvox.de,Therrown1976,488 6620,3/20/1976,,AB+
82,female,Oddný,A,Sigurvaldadóttir,Thingholtsstraeti 68,OddnySigurvaldadottir@cuvox.de,Theral,449 5742,3/20/1975,,A+
83,female,Eik,S,Friðbjarnardóttir,Tryggvabraut 30,EikFribjarnardottir@armyspy.com,Soutructench,440 8862,8/9/1978,,A+
84,female,Gerður,S,Bragadóttir,Ólafsbraut 99,GerurBragadottir@einrot.com,Docials1928,455 4442,8/14/1928,,O+
85,female,Birgitta,B,Hrafnkelsdóttir,Hraunás 9,BirgittaHrafnkelsdottir@superrito.com,Lationston,482 0396,4/26/1974,,B+
86,male,Sigurfinnur,B,Guðlaugsson,Hverafold 78,SigurfinnurGulaugsson@superrito.com,Sevoy1987,468 6635,4/25/1987,,B+
87,female,Þrúður,A,Kristinsdóttir,Heiðargerði 72,ruurKristinsdottir@jourrapide.com,Thistagating,474 9676,9/8/1992,,B+
88,male,Trausti,E,Sophusson,Kveldúlfsgata 31,TraustiSophusson@fleckens.hu,Reupok,475 0172,4/10/1975,,O+
89,male,Runólfur,V,Kristleifsson,Bjarkarstígur 97,RunolfurKristleifsson@rhyta.com,Beene1984,420 7179,1/17/1984,,B+
90,male,Guðlaugur,K,Vilhelmsson,Eyrarodda 18,GulaugurVilhelmsson@armyspy.com,Dreff1939,482 7149,10/18/1939,,A+
91,female,Árvök,R,Hauksdóttir,Hafnarstræti 14,ArvokHauksdottir@teleworm.us,Moll1962,417 7084,8/7/1962,,A+
92,female,Hallgerður,Á,Aðalbjörnsdóttir,Aðalstræti 54,HallgerurAalbjornsdottir@jourrapide.com,Busucher,484 5415,9/17/1958,,A-
93,female,Katrin,G,Angantýsdóttir,Fagradalsbraut 88,KatrinAngantysdottir@dayrep.com,Seect1992,426 8387,7/11/1992,,O-
94,female,Edda,G,Tryggvadóttir,Sigtuni 52,EddaTryggvadottir@dayrep.com,Rainglevers,440 1046,3/15/1932,,O+
95,female,Agnes,E,Traustadóttir,Skólastígur 49,AgnesTraustadottir@armyspy.com,Factle,482 0107,12/24/1952,,B+
96,female,Heiðbjört,D,Aðalbjörnsdóttir,Klausturvegi 99,HeibjortAalbjornsdottir@dayrep.com,Andpooled,465 2869,5/7/1987,,A+
97,male,Snorri,J,Svavarsson,Holmatun 80,SnorriSvavarsson@fleckens.hu,Clorstow,470 7365,4/4/1978,,A-
98,female,Hrönn,S,Hauksdóttir,Egilsgata 78,HronnHauksdottir@einrot.com,Pultand,485 3036,12/19/1948,,O+
99,male,Steindór,S,Sturluson,Aðalgata 98,SteindorSturluson@einrot.com,Mustent62,477 2075,1/20/1962,,B+
100,male,Viktor,H,Þorvarðarson,Naustavegur 65,Viktororvararson@gustr.com,Frolit,432 9773,3/24/1931,,B+
101,male,Hákon,S,Jasonarson,Fjölnisgata 36,HakonJasonarson@teleworm.us,Shrothem,489 7200,2/13/1982,,A-
102,female,Oddbjörg,P,Angantýsdóttir,Holtagata 56,OddbjorgAngantysdottir@superrito.com,Famere,422 0787,9/27/1928,,O+
103,female,Þyri,B,Áskelsdóttir,Ólafsbraut 6,yriAskelsdottir@cuvox.de,Woread1987,481 4533,10/23/1987,,A+
104,male,Hans,K,Agnarsson,Sævar 15,HansAgnarsson@superrito.com,Spive1964,468 1524,9/26/1964,,AB+
105,female,Þyri,A,Haraldsdóttir,Þjónustusvæði 38,yriHaraldsdottir@rhyta.com,Stioner74,470 9602,7/26/1974,,A+
106,female,Rós,A,Magnúsdóttir,Golfskálinn 81,RosMagnusdottir@teleworm.us,Dinied,426 0132,9/12/1952,,O+
107,male,Hafþór,S,Mikaelsson,Midhraun 95,HaforMikaelsson@gustr.com,Vourpontow,424 3187,12/22/1962,,A-
108,male,Eiríkur,Á,Jensson,Brekkustíg 96,EirikurJensson@gustr.com,Thared,433 3487,5/17/1942,,B+
109,male,Guðgeir,U,Hjálmtýsson,Þverbraut 96,GugeirHjalmtysson@teleworm.us,Prowen,417 5509,3/14/1949,,A+
110,female,Ingileif,A,Sigtryggsdóttir,Sundlaugavegur 53,IngileifSigtryggsdottir@dayrep.com,Aleat1954,465 8180,2/28/1954,,A+
111,male,Oddbjörn,B,Ingólfsson,Gardabraut 24,OddbjornIngolfsson@gustr.com,Abiall,450 6843,10/20/1964,,O+
112,female,Viktoría,Þ,Karlsdóttir,Kveldúlfsgata 87,ViktoriaKarlsdottir@armyspy.com,Clavory,414 7235,3/20/1957,,A+
113,male,Skafti,Þ,Ástvaldsson,Gránugata 10,SkaftiAstvaldsson@dayrep.com,Hatell1934,481 9971,5/30/1934,,O+
114,male,Sturla,J,Borgarsson,Adalstraeti 6,SturlaBorgarsson@superrito.com,Tudiblad,469 0251,6/4/1961,,O+
115,male,Matti,A,Böðvarsson,Eyrarodda 81,MattiBovarsson@cuvox.de,Camortautley,483 7202,3/18/1971,,A+
116,female,Hildigunn,E,Óskarsdóttir,Lindargata 7,HildigunnOskarsdottir@einrot.com,Antakedine1989,432 8134,11/20/1989,,O-
117,male,Sigursteinn,K,Vilhjálmsson,Brekkustíg 44,SigursteinnVilhjalmsson@fleckens.hu,Inattleaces,471 6068,12/7/1989,,B+
118,male,Björgvin,R,Víkingsson,Akurgerði 64,BjorgvinVikingsson@fleckens.hu,Mormand,489 6350,6/4/1967,,AB+
119,male,Ingvi,E,Hannesson,Geislagata 41,IngviHannesson@dayrep.com,Altors,446 9975,10/22/1980,,O+
120,female,Emma,H,Helgadóttir,Fitjabraut 36,EmmaHelgadottir@armyspy.com,Reamost,451 6352,9/23/1933,,B+
121,male,Ásgeir,S,Steinsson,Svarfaðarbraut 78,AsgeirSteinsson@teleworm.us,Prucestras59,415 6119,9/9/1959,,O+
122,female,Ríkey,G,Skarphéðinsdóttir,Borgarholtsbraut 90,RikeySkarpheinsdottir@rhyta.com,Popecriente,487 4333,1/27/1990,,B+
123,female,Bergljót,P,Runólfsdóttir,Hlíðarvegur 48,BergljotRunolfsdottir@fleckens.hu,Twouldes,478 2824,12/29/1962,,B+
124,male,Hartmann,H,Arnþórsson,Gránugata 91,HartmannArnorsson@dayrep.com,Advaltepi,441 1506,9/29/1961,,O+
125,male,Friðfinnur,S,Níelsson,Holmatun 46,FrifinnurNielsson@jourrapide.com,Shasid,448 9623,4/14/1966,,O+
126,female,Signý,A,Sigmarsdóttir,Austurstraeti 11,SignySigmarsdottir@fleckens.hu,Intoommand,444 5555,12/3/1940,,O+
127,female,Dýrleif,B,Hrafnkelsdóttir,Guðmundsson 24,DyrleifHrafnkelsdottir@teleworm.us,Washound,411 3344,12/10/1978,,O+
128,male,Ingimar,H,Hallvarðsson,Aðalstræti 71,IngimarHallvarsson@einrot.com,Iltor1954,480 0610,12/6/1954,,A+
129,female,Sóley,Á,Atladóttir,Bjarg Dalbraut 88,SoleyAtladottir@rhyta.com,Thamot,489 8840,8/1/1978,,B+
130,male,Börkur,H,Aronsson,Ægissiða 97,BorkurAronsson@superrito.com,Ladmoultan,467 0957,11/23/1959,,O+
131,male,Oddur,S,Sighvatsson,Holtagata 91,OddurSighvatsson@fleckens.hu,Thase1951,467 3166,4/5/1951,,O+
132,male,Halldór,Á,Svanbergsson,Fagradalsbraut 31,HalldorSvanbergsson@dayrep.com,Exion1964,435 5611,10/16/1964,,A-
133,male,Richard,H,Þrastarson,Brekkugata 73,Richardrastarson@superrito.com,Juserebeaven,455 3515,1/18/1929,,A+
134,male,Patrekur,M,Heimisson,Klausturvegi 51,PatrekurHeimisson@jourrapide.com,Morgest1964,484 8997,1/6/1964,,AB+
135,male,Scheving,S,Ólafsson,Tungata 75,SchevingOlafsson@teleworm.us,Thoter,441 9627,5/6/1939,,O+
136,female,Linda,Þ,Marinósdóttir,Gilsbakka 69,LindaMarinosdottir@rhyta.com,Theacce,433 7241,6/7/1970,,O-
137,male,Ásgrímur,I,Valtýsson,Hvanneyrarbraut 35,AsgrimurValtysson@cuvox.de,Flust1964,423 5364,7/17/1964,,O+
138,male,Marinó,J,Bergþóruson,Árbraut 68,MarinoBergoruson@fleckens.hu,Aliectalk,421 6914,7/9/1989,,B+
139,male,Sigurkarl,V,Gíslason,Árbraut 30,SigurkarlGislason@gustr.com,Mehisguarl,475 5407,1/16/1992,,B+
140,male,Pétur,M,Sigurmundsson,Þrúðvangur 42,PeturSigurmundsson@jourrapide.com,Quushey81,465 6272,7/16/1981,,O+
141,female,Elína,H,Sigmarsdóttir,Þingvallastræti 49,ElinaSigmarsdottir@rhyta.com,Olew1992,451 0251,1/3/1992,,A+
142,male,Snorri,G,Bergsveinsson,Hverafold 16,SnorriBergsveinsson@jourrapide.com,Millese,427 7769,12/7/1931,,O+
143,male,Rafn,Þ,Helgason,Sundabakki 99,RafnHelgason@einrot.com,Hisir1938,417 9852,1/15/1938,,B+
144,male,Matti,B,Hallbjörnsson,Fagradalsbraut 79,MattiHallbjornsson@gustr.com,Guse1931,475 2746,10/27/1931,,O+
145,female,Halldóra,B,Bárudóttir,Þingvallastræti 18,HalldoraBarudottir@einrot.com,Againcelow,429 3501,1/20/1994,,B+
146,male,Steindór,S,Benediktsson,Austvaðsholti 48,SteindorBenediktsson@rhyta.com,Bervicad,457 9677,1/6/1962,,O+
147,male,Sigurmann,E,Hildisson,Ólafsbraut 23,SigurmannHildisson@dayrep.com,Beyes1937,487 0840,6/29/1937,,B+
148,female,Ellý,J,Óladóttir,Nesvegi 85,EllyOladottir@armyspy.com,Drefoldn1966,467 4500,6/8/1966,,B+
149,female,Dýrleif,A,Bjarnadóttir,Holtagata 48,DyrleifBjarnadottir@teleworm.us,Beceents,442 2646,4/21/1948,,A+
150,male,Arnar,L,Jósefsson,Ráðhústorg 88,ArnarJosefsson@fleckens.hu,Useen1945,416 9801,10/19/1945,,B+
151,male,Hannes,H,Theodórsson,Fjölnisgata 29,HannesTheodorsson@fleckens.hu,Halwas,443 9723,6/16/1994,,O+
152,female,Pálína,H,Halldórsdóttir,Hverafold 25,PalinaHalldorsdottir@fleckens.hu,Frivillesid,431 1928,7/15/1989,,O+
153,male,Össur,K,Felixson,Austurstraeti 11,OssurFelixson@teleworm.us,Thentervich,458 4237,6/15/1979,,AB+
154,male,Scheving,H,Guðlaugsson,Hlégerði 87,SchevingGulaugsson@armyspy.com,Norigoind,427 9451,4/18/1985,,AB+
155,male,Sverrir,A,Eyþórsson,Thingvallastraeti 90,SverrirEyorsson@rhyta.com,Waintlever,413 5267,2/20/1935,,O+
156,female,Hallfríður,S,Snorradóttir,Hverfisgata 61,HallfriurSnorradottir@einrot.com,Youblicut,428 9055,9/3/1950,,A+
157,male,Sigfús,M,Bjargmundsson,Suðurgata 69,SigfusBjargmundsson@gustr.com,Ruence,441 1611,9/25/1976,,AB+
158,male,Gunnar,V,Þorbergsson,Hlégerði 28,Gunnarorbergsson@teleworm.us,Thiskes,418 3751,10/15/1961,,O+
159,male,Árni,Á,Ágústsson,Grýtubakki 40,ArniAgustsson@dayrep.com,Hoper1942,443 6495,9/6/1942,,B+
160,male,Örlygur,L,Ásbjörnsson,Klapparstígur 53,OrlygurAsbjornsson@einrot.com,Elifuldn,421 5093,10/3/1940,,AB+
161,male,Haddur,H,Jóhannsson,Fjölnisgata 96,HaddurJohannsson@rhyta.com,Yese1972,480 8685,1/25/1972,,B+
162,female,Herta,H,Marinósdóttir,Smiðjustígur 82,HertaMarinosdottir@jourrapide.com,Faceires,475 8314,2/17/1971,,A+
163,male,Orri,V,Hólmsteinsson,Fagurhólsmýri 2,OrriHolmsteinsson@armyspy.com,Behiden1949,427 2824,1/28/1949,,B+
164,male,Albert,E,Guttormsson,Tungata 68,AlbertGuttormsson@teleworm.us,Tholeaugh,447 5479,5/17/1931,,O+
165,female,Elín,B,Eiríksdóttir,Bjarkarstígur 28,ElinEiriksdottir@superrito.com,Markmand,485 2267,6/2/1983,,A+
166,male,Alexander,Þ,Daníelsson,Ennisbraut 67,AlexanderDanielsson@dayrep.com,Beirdniance,487 6522,12/12/1974,,B-
167,male,Brynjólfur,H,Þrastarson,Golfskálinn 53,Brynjolfurrastarson@cuvox.de,Tepateady,486 4249,9/17/1949,,A+
168,male,Bragi,S,Hallbergsson,Garðavegur 5,BragiHallbergsson@armyspy.com,Actem1994,435 9278,8/20/1994,,A+
169,male,Torfi,K,Finnbogason,Sundlaugavegur 82,TorfiFinnbogason@superrito.com,Syrack,415 4435,4/23/1947,,B+
170,female,Sólveig,S,Bernódusdóttir,Laufásgötu 73,SolveigBernodusdottir@teleworm.us,Brions,478 8856,1/22/1993,,O+
171,female,Bríet,S,Angantýsdóttir,Naustavegur 60,BrietAngantysdottir@superrito.com,Rottleve,443 8552,12/28/1938,,B+
172,male,Sölvi,E,Ludwigsson,Sundlaugavegur 49,SolviLudwigsson@rhyta.com,Posand,486 8534,4/2/1928,,AB+
173,male,Þorbjörn,E,Eðvaldsson,Klettsbúð 40,orbjornEvaldsson@gustr.com,Suffigh1935,483 1821,9/20/1935,,O+
174,female,Kristbjörg,J,Tryggvadóttir,Akurbraut 41,KristbjorgTryggvadottir@cuvox.de,Ontepairt,475 6653,2/8/1959,,O+
175,female,Ástríður,E,Haraldsdóttir,Stórholt 64,AstriurHaraldsdottir@jourrapide.com,Ardere,416 6597,8/25/1992,,A-
176,female,Astrid,B,Þórðardóttir,Hrútafjörður 23,Astridorardottir@teleworm.us,Camen1974,480 9822,12/21/1974,,B+
177,female,Bára,Þ,Friðleifsdóttir,Norðurbrún 84,BaraFrileifsdottir@cuvox.de,Ressuffe,489 8199,3/1/1976,,O+
178,female,Karólína,S,Ellertsdóttir,Klausturvegi 11,KarolinaEllertsdottir@teleworm.us,Begg1946,458 1342,4/2/1946,,O+
179,female,Oddbjörg,Þ,Björnsdóttir,Þrúðvangur 80,OddbjorgBjornsdottir@teleworm.us,Careter,415 9365,6/10/1970,,A+
180,female,Hlíf,R,Ásgeirsdóttir,Þrúðvangur 1,HlifAsgeirsdottir@fleckens.hu,Felainum,487 9103,7/5/1984,,B+
181,female,Oddbjörg,E,Valgeirsdóttir,Heiðargerði 52,OddbjorgValgeirsdottir@einrot.com,Fintioned,455 1592,12/19/1931,,B+
182,female,Elva,S,Eggertsdóttir,Brekkustíg 5,ElvaEggertsdottir@einrot.com,Anniguiturve,450 1675,6/16/1980,,A+
183,female,Sif,H,Eggertsdóttir,Heiðarbraut 37,SifEggertsdottir@armyspy.com,Purthe,489 0041,7/16/1933,,A+
184,male,Hrafn,B,Finnsson,Gilsbakka 73,HrafnFinnsson@jourrapide.com,Dehe1964,474 2872,3/25/1964,,O+
185,female,Borghildur,S,Hrafnsdóttir,Lindargata 39,BorghildurHrafnsdottir@fleckens.hu,Lifer1983,458 5236,12/17/1983,,A+
186,female,Karlotta,H,Aðalbjörnsdóttir,Norðurbraut 60,KarlottaAalbjornsdottir@dayrep.com,Loonts,487 3599,5/26/1941,,B-
187,male,Eðvald,D,Hervinsson,Bjarkarstígur 85,EvaldHervinsson@fleckens.hu,Whoodger,471 0919,12/26/1965,,O+
188,female,Kristína,F,Reynisdóttir,Kaupangsstræti 32,KristinaReynisdottir@teleworm.us,Wisithir1939,410 0898,2/13/1939,,A+
189,male,Friðfinnur,S,Ingibergsson,Hnjúkabyggð 49,FrifinnurIngibergsson@einrot.com,Brot1941,434 0236,7/15/1941,,B+
190,female,Rannveig,V,Þorkelsdóttir,Hraunás 49,Rannveigorkelsdottir@einrot.com,Spette,467 7675,12/27/1981,,B+
191,female,Fjóla,L,Vigfúsdóttir,Borgartuni 52,FjolaVigfusdottir@jourrapide.com,Magning,464 0681,1/27/1929,,B+
192,female,Ingveldur,H,Finnbogadóttir,Ráðhústorg 35,IngveldurFinnbogadottir@dayrep.com,Oleeizen,486 9982,1/2/1979,,O-
193,male,Mikael,H,Njálsson,Fagradalsbraut 80,MikaelNjalsson@superrito.com,Falit1948,446 8803,1/24/1948,,B+
194,male,Valdimar,B,Svanbergsson,Hlíðarvegur 82,ValdimarSvanbergsson@cuvox.de,Abould,428 2331,8/10/1979,,B+
195,female,Sunna,M,Ellertsdóttir,Bjarnarbraut 85,SunnaEllertsdottir@gustr.com,Faming,421 9609,3/30/1933,,O+
196,male,Hreinn,K,Samúelsson,Naustavegur 75,HreinnSamuelsson@superrito.com,Shour1963,419 3199,8/6/1963,,O+
